Bedrooms,Bathrooms,Area_sqft,Location_Rating,Age_of_House,Garage,Price
4,1,1959,1,23,0,410853
1,1,935,6,30,1,229593
4,3,3569,9,26,1,735163
2,1,746,3,49,1,210405
1,3,721,3,20,1,266252
5,1,680,2,43,0,358521
3,2,3332,4,0,1,601158
4,3,3309,10,14,0,694772
3,2,3022,3,2,0,543162
3,2,2710,2,5,1,515914
1,3,1103,1,13,1,263726
3,2,1267,3,37,0,367873
5,3,3096,10,32,1,770810
3,2,3515,6,37,1,618290
1,3,2044,9,7,0,414567
5,3,1945,5,25,0,569660
2,1,3327,3,14,0,472253
3,3,1789,5,13,0,459326
1,3,2220,5,47,0,373308
2,2,2580,5,19,0,467112
2,3,2272,7,47,1,491715
4,1,3108,5,18,1,615151
5,2,1058,7,32,1,478938
3,2,1812,9,35,1,499941
1,1,1063,5,23,1,225998
4,2,1511,2,9,1,454047
5,2,3026,5,49,1,674863
4,2,1625,8,33,1,498113
5,2,3011,4,35,1,662349
5,1,671,2,46,0,361403
3,1,2050,10,35,0,486139
5,2,3285,3,15,1,680687
4,2,1793,9,14,1,524747
5,1,3876,9,17,0,738508
3,1,2448,8,6,0,521412
3,1,2984,8,46,0,533074
4,2,2622,8,21,1,604113
2,2,2842,8,31,0,496249
2,3,1611,8,42,0,413171
5,1,1252,1,18,0,394893
1,2,1898,6,39,1,357070
5,1,606,9,0,0,412606
4,2,1504,8,34,1,478613
4,1,3626,3,4,0,637236
4,2,2628,1,49,0,497830
4,3,3213,2,11,1,632437
4,3,1215,2,11,0,410964
3,1,2473,7,20,0,501370
2,2,3220,6,18,0,520749
4,2,3246,2,8,1,601446
1,1,1369,8,42,1,289290
1,2,3849,9,48,1,574635
1,1,2889,7,47,0,419305
1,2,3874,4,35,1,534776
3,1,2166,1,41,0,380067
1,2,2085,4,46,0,333762
4,1,3751,4,31,0,646473
5,2,2040,8,34,0,577014
1,3,1365,4,30,0,305554
3,2,983,4,31,0,342755
3,1,3038,2,36,0,488851
1,3,3543,10,31,0,587185
5,2,1287,7,42,1,523287
1,3,1749,4,36,1,364383
3,2,646,6,38,0,323253
2,3,2572,3,37,1,489594
4,1,3266,7,29,1,641942
3,2,1063,6,31,1,380448
1,2,2472,3,44,0,376956
4,1,722,4,1,1,364107
1,3,2781,10,10,0,510158
1,1,2242,5,19,1,354770
2,1,1440,9,36,1,385025
4,3,2185,6,8,1,598279
4,1,3496,4,37,0,597716
2,2,3254,7,48,0,541773
3,2,2403,2,18,0,476241
1,2,622,4,39,0,208852
5,1,1165,5,6,0,424297
1,2,2509,4,4,0,418789
1,2,3413,4,46,0,461894
3,2,1564,9,41,0,423590
1,2,2882,2,23,0,399369
2,2,1595,6,47,1,374973
2,2,3730,8,40,1,614085
4,1,1787,8,6,0,494487
5,2,2394,7,10,1,639484
1,2,1425,10,8,1,372551
1,3,815,4,48,0,229054
3,1,3854,7,29,0,638539
2,1,1256,10,40,1,348954
5,1,3582,6,2,0,682489
4,1,1713,6,21,1,475544
2,2,2587,2,39,0,417145
4,2,910,8,19,1,445743
3,3,1156,8,31,0,439154
3,3,3619,7,47,1,672627
1,1,2904,9,6,1,485148
5,3,3180,8,6,1,751958
4,3,2156,9,19,1,596034
2,1,651,9,24,0,263650
3,1,1961,6,44,1,418124
1,3,1794,2,34,0,334172
1,2,3738,7,43,1,541022
4,3,2248,3,23,0,515420
3,3,2947,7,39,1,615289
5,2,1271,9,12,0,522448
3,2,1377,10,47,1,430077
4,1,1431,10,38,1,473004
4,1,2879,2,3,0,537192
3,3,3622,6,11,1,682737
4,2,2460,6,16,1,575335
3,1,3739,9,0,1,658559
2,3,2129,9,16,1,514584
3,2,2675,5,1,0,507964
3,3,2572,5,5,1,579602
4,1,1674,9,43,0,480912
4,1,2316,8,10,0,552171
1,2,1883,7,42,0,331211
1,3,1190,8,17,0,321716
2,2,3432,6,39,1,545108
1,1,3267,3,24,1,446321
3,1,2586,7,38,0,490577
4,3,3233,8,27,1,692995
1,3,1601,8,45,1,364713
1,3,2831,1,15,0,428361
2,2,1646,7,11,0,394092
2,3,2776,3,40,0,471378
3,3,2938,2,28,1,561785
4,1,2455,2,22,0,468867
2,1,1100,8,20,0,300786
1,3,2833,9,15,1,536708
4,3,1078,3,47,1,415351
4,1,2194,3,40,1,496146
1,3,3139,6,44,1,507511
2,2,1112,10,25,1,363190
1,2,3738,1,36,1,507113
4,2,3114,6,21,1,627277
5,3,2932,3,9,1,668603
5,1,1200,4,6,0,431567
3,3,2040,9,8,1,552885
1,3,1723,3,24,0,338522
1,1,788,1,45,1,172906
3,1,1588,3,14,1,379240
3,1,3537,7,12,0,579960
3,2,2481,7,41,1,537867
4,3,987,5,45,0,423202
1,1,2888,1,25,1,383133
4,3,2405,8,20,0,583998
3,2,2633,10,22,0,552818
1,2,2354,8,43,1,416401
4,1,3064,10,27,0,625154
4,1,2823,10,37,0,607876
3,3,986,10,11,1,449002
1,1,2094,2,23,1,331385
3,3,1452,10,12,0,484745
1,1,3904,3,39,1,484245
5,3,3310,4,47,0,682870
2,3,1051,1,1,0,312831
2,3,2924,4,38,0,493042
2,3,3900,5,11,1,642339
3,2,3842,3,38,1,628881
5,3,2358,10,13,0,656335
1,1,812,2,29,0,179999
4,2,3953,6,40,0,710335
1,2,640,8,49,1,253083
4,3,1745,7,42,0,515605
1,2,3898,1,47,1,502430
5,3,2941,4,18,0,658836
4,1,1199,3,30,0,358715
3,3,3938,6,42,0,677196
1,2,2624,9,49,0,442212
1,1,3188,9,42,1,480044
4,3,2630,7,24,1,622718
3,1,2382,9,3,1,523484
3,1,2451,8,49,1,511283
5,2,3098,5,12,1,695228
3,1,2379,9,35,0,507159
3,2,3732,7,41,1,659190
3,1,3818,5,36,1,610210
2,3,3437,8,2,1,648086
5,1,2981,7,15,1,649962
1,3,2504,9,25,0,487307
4,3,3538,10,39,0,728311
1,1,3813,1,38,0,439342
5,3,2691,9,18,1,715386
4,1,743,7,45,0,343191
5,1,932,1,14,0,383199
3,3,1597,1,31,1,396218
4,3,2019,5,48,1,530852
3,2,654,8,20,1,361640
1,3,1930,9,0,0,424262
1,2,3517,6,5,1,538482
4,3,2046,10,26,0,584059
4,1,2040,8,22,0,517815
5,3,3444,6,46,0,719342
5,1,2972,6,30,0,603922
3,1,2333,4,11,0,464620
4,1,2294,5,20,1,501051
1,2,679,2,1,0,199006
5,3,3702,3,4,0,752746
5,1,1584,3,8,0,445083
1,1,3783,5,19,0,497194
5,2,3205,5,45,0,656966
3,3,1464,6,17,1,464369
4,3,3364,5,21,0,654405
1,2,2187,6,7,0,370692
4,2,1071,8,33,0,427427
5,3,2721,2,8,0,635592
5,2,2176,4,6,1,567866
1,3,2102,6,29,0,381609
3,3,1188,5,17,0,393169
2,1,2010,1,26,0,347782
1,1,2505,9,15,0,414863
2,3,1163,3,20,1,334119
2,3,1066,2,4,1,343736
3,3,1198,9,28,1,450637
2,3,2244,7,46,0,451456
2,3,1591,5,36,1,381815
3,3,2532,6,42,1,549475
2,2,3384,4,21,1,548091
2,3,3641,1,13,1,574484
2,2,2895,4,18,1,489394
1,2,2204,9,34,0,402117
1,3,3791,1,23,1,536178
1,3,666,10,41,1,309421
3,2,3220,3,5,1,584459
5,2,3998,5,2,0,749315
2,3,3350,7,33,0,567577
2,3,1069,9,44,1,386343
3,2,3140,6,49,0,549943
2,2,2324,3,1,0,439108
1,2,3310,7,14,1,505783
5,1,2933,4,36,0,588413
4,2,2231,3,14,1,511485
2,1,2959,7,31,1,517285
1,3,2956,7,20,1,502582
4,3,1374,4,16,0,474751
5,2,3768,7,33,1,753707
4,3,3612,2,31,1,671016
1,3,1736,1,49,0,303938
4,3,2611,2,46,1,575307
3,3,3103,4,22,0,587702
4,1,2086,8,34,0,484030
2,1,731,3,36,1,254928
2,2,1529,10,42,0,374836
3,2,3612,6,40,1,623064
1,2,1528,6,36,0,309915
2,3,2768,9,32,0,530107
5,3,1820,9,24,0,586709
2,1,2105,4,45,0,367854
2,1,1233,9,36,1,346007
1,2,3544,6,39,1,544284
4,1,3419,2,20,0,597087
2,1,1662,10,45,1,375099
3,1,3213,6,47,1,561988
4,1,3159,2,37,1,561645
5,1,1784,8,39,1,542271
1,2,888,4,33,1,254586
5,2,2847,5,18,1,657393
4,1,2411,8,26,1,572403
4,2,1127,8,8,0,449837
4,3,1516,6,4,1,514965
5,1,2308,4,4,0,542250
4,3,3919,1,24,0,664090
5,2,2006,7,25,0,572037
4,2,1841,8,18,1,522552
3,3,1710,9,29,1,490460
4,2,3753,2,35,0,657402
5,1,3733,1,47,0,649985
2,3,1398,4,47,1,356864
4,1,2123,5,15,1,489891
2,3,3713,10,6,1,688819
3,2,611,1,17,0,256310
1,3,1432,5,20,0,342595
3,3,3488,6,30,1,641788
4,1,3290,3,0,1,624754
2,2,3786,7,2,0,615714
2,1,1841,6,30,1,382174
5,2,2272,4,24,1,586398
2,1,2753,3,7,0,422309
5,3,1290,5,0,0,524180
1,1,1127,3,6,0,216260
4,2,2095,10,6,0,585438
5,2,3493,9,7,1,781191
1,3,1492,9,18,0,378931
2,2,986,6,16,1,329762
2,1,1849,6,10,1,395136
1,3,3128,4,46,1,506933
2,2,2377,4,40,0,409079
1,2,1007,2,48,0,191040
5,1,2276,10,10,1,607355
5,1,1497,4,37,1,471105
1,3,1310,8,40,0,329259
5,2,3286,10,49,1,745355
5,1,3692,2,1,1,705426
5,3,2282,9,3,1,691604
3,2,3462,1,49,1,573314
4,2,1517,2,27,1,418706
2,3,2850,2,32,1,487599
3,3,1016,6,10,1,418374
5,1,1015,7,2,1,459215
1,2,2071,3,39,0,329597
5,2,2135,9,4,0,627318
4,2,684,5,20,1,383183
5,3,766,5,21,1,487362
1,1,3031,4,36,0,408576
4,2,3115,9,10,0,638897
5,3,1695,8,43,0,575475
4,2,1409,4,21,1,464477
2,1,3644,4,40,0,534370
2,2,2144,2,12,0,376100
5,1,2416,9,2,1,615318
4,1,3120,3,12,0,573111
1,2,1592,4,27,1,334418
5,2,1881,7,10,0,553333
2,1,874,10,10,0,306571
2,3,2373,8,20,0,488026
5,1,3691,8,20,0,725868
4,2,3137,4,6,0,607839
2,2,2356,7,16,1,457745
4,3,2973,10,47,1,683758
2,1,3176,1,13,0,457303
2,1,1491,6,32,1,344407
3,1,688,6,10,0,318426
2,2,3133,6,12,0,544790
1,1,1307,2,0,0,214298
5,3,2997,8,33,0,696783
5,2,3755,5,8,0,728513
4,2,986,5,12,1,438886
2,1,2734,2,36,1,442520
1,3,2954,4,29,1,469996
4,2,2473,9,40,1,582855
3,2,1777,9,44,0,468419
4,1,1039,6,36,1,383897
4,1,3387,9,46,0,626509
2,3,2911,4,6,0,525465
3,1,1576,1,13,1,366718
4,3,1334,2,47,1,445864
1,2,3068,1,5,0,414168
1,3,3140,8,33,0,519382
5,3,1232,9,15,0,546339
3,3,1592,10,36,1,518163
3,2,3058,6,35,0,574889
5,1,772,2,45,0,364170
4,2,603,6,5,0,362978
3,1,3501,9,7,0,607498
1,3,2263,3,23,1,390366
1,3,3633,9,2,1,612653
2,3,2615,2,3,0,488188
3,3,2095,5,31,1,517375
4,3,3781,2,0,0,673774
5,1,1660,7,33,1,521772
5,1,3230,10,44,1,702716
4,3,1654,9,8,1,565140
2,2,980,7,11,1,345670
5,2,1891,5,9,0,559762
3,3,3682,4,9,0,634751
2,1,2991,4,49,0,432670
3,2,2192,10,43,1,537172
1,2,765,8,47,1,277789
2,2,3347,10,22,0,584682
5,3,2989,10,5,1,767918
2,2,1642,10,23,1,432099
2,2,2251,10,23,0,480913
2,2,3627,10,20,1,628810
2,2,1807,1,41,0,345016
3,1,1144,5,30,1,351753
1,3,3681,2,46,0,513630
4,3,2839,9,40,1,644793
2,1,2967,7,29,1,510924
5,1,3227,10,33,1,713085
2,3,3122,8,17,1,587313
5,2,3284,6,11,1,707216
3,2,3074,9,34,0,576487
5,3,3730,6,6,1,805701
4,2,696,7,40,0,378265
1,1,3143,7,39,0,458948
5,2,3308,9,24,0,728422
5,2,1901,8,5,1,607898
1,2,3936,1,0,0,510467
4,3,2656,4,45,1,586264
2,1,1056,7,15,1,318263
5,2,2418,8,47,1,614401
1,3,872,7,3,0,313422
3,2,3587,3,28,1,623421
1,1,1631,4,37,1,303648
3,2,807,7,46,1,371246
4,1,2537,8,27,0,533675
2,2,2260,7,21,0,430223
1,1,1746,6,7,0,305990
5,2,1656,9,31,0,553370
4,1,2136,9,32,1,524313
1,2,803,7,12,0,262153
5,2,3165,8,26,1,702101
1,3,2432,6,17,0,432143
3,3,3164,1,17,1,575884
1,1,1042,1,12,0,180935
1,2,1288,6,21,0,286917
1,1,3497,2,13,0,449428
4,3,1432,8,10,1,522174
1,1,2986,1,38,1,380223
5,1,2061,2,49,0,476995
3,3,1759,8,21,0,471869
3,2,986,6,35,0,356140
1,1,2641,10,16,0,419266
4,3,3696,2,31,0,665737
4,2,3153,2,13,0,571009
5,3,1948,7,41,1,593047
1,1,2318,5,28,1,380867
3,2,1279,5,5,1,405650
4,2,1289,8,49,1,469331
1,3,3532,7,3,1,595031
4,3,3766,9,10,1,763801
4,3,2168,4,44,0,536105
3,2,3270,10,39,0,615074
2,2,1769,4,9,0,383259
5,1,1492,2,27,0,425796
5,2,1552,3,10,0,480428
3,1,1854,1,34,1,367618
4,3,1383,1,14,1,456131
1,3,2646,7,7,1,489902
4,2,2471,5,19,1,566547
3,3,1094,3,49,1,374235
5,3,3709,7,20,0,780807
4,2,1346,2,0,1,431253
5,1,3084,3,28,1,643787
1,2,2454,1,23,1,375931
5,1,2992,8,29,0,633819
5,2,3831,2,39,0,678155
2,2,3197,7,34,0,513742
2,3,3467,9,32,0,628912
2,2,3188,6,19,0,513488
5,2,2791,2,15,0,594660
3,1,3235,2,8,1,529733
5,3,1256,9,30,1,543688
3,1,2482,10,16,1,521846
3,1,2992,8,30,0,537327
2,3,3940,9,47,0,663115
4,3,3343,4,22,0,633787
1,3,2396,4,5,0,412553
2,2,867,2,29,1,286715
2,3,2816,10,6,0,565511
4,3,2362,1,47,0,510251
1,3,2680,10,39,0,484778
5,1,976,4,41,0,397956
5,1,3885,10,45,0,737931
2,2,2185,10,10,1,495688
1,1,2063,8,33,0,330283
2,2,3040,2,11,0,458951
3,1,1088,8,44,1,350869
2,3,1321,1,46,0,302486
2,1,1545,1,26,0,268707
5,2,3700,4,11,1,751665
5,1,2686,7,12,1,651039
5,3,2235,9,7,1,668157
3,2,3844,5,15,1,658906
5,3,1640,2,28,1,519190
1,3,3727,7,34,1,584149
4,2,2873,2,28,1,582978
1,3,2714,9,30,1,501329
1,3,3868,9,12,1,649900
5,1,2277,3,11,1,540113
4,3,3482,8,1,0,707695
4,3,3694,4,32,1,710127
4,3,1598,3,7,1,478246
3,3,2377,1,40,1,503883
5,2,2884,5,39,1,630294
4,1,1556,4,48,1,404021
3,3,3566,1,40,0,586903
2,3,2189,10,31,0,492867
2,2,1761,8,37,0,402104
3,3,3120,8,27,1,629480
3,2,2468,8,14,1,531644
5,1,1152,3,22,0,428772
5,1,2233,6,23,1,570687
2,3,1294,7,12,1,401677
4,3,3900,9,20,0,777112
2,3,916,5,11,1,349075
4,2,3245,9,12,1,687949
4,3,1367,6,38,1,487159
5,3,3533,10,22,1,783559
1,1,3208,10,49,1,494904
1,3,3872,10,45,1,618559
3,1,2571,4,42,1,481462
5,3,2905,1,27,0,634943
4,1,2103,1,13,0,445119
1,3,3849,10,16,1,652115
4,1,3404,5,23,1,644797
1,2,722,3,33,0,183397
1,1,2989,5,47,0,408475
1,1,3842,5,21,0,515060
5,1,2468,1,9,0,540460
2,3,2271,8,7,0,502335
4,3,1682,5,20,0,509493
5,3,2328,5,36,0,588749
5,2,2907,9,6,1,698359
5,2,2596,8,25,0,625110
5,1,2742,1,12,0,564969
5,2,1748,3,15,0,511123
3,1,2688,7,29,1,520700
4,1,2514,1,30,1,515409
5,1,853,1,4,1,388087
4,2,606,5,31,0,343006
3,3,3375,9,15,0,653303
3,2,2716,6,46,0,499866
4,1,3752,10,8,1,734446
1,1,1141,2,21,1,207577
2,2,3933,9,43,1,627868
1,1,688,6,39,1,220527
1,1,2538,5,44,1,374540
1,2,3879,5,36,1,552697
5,2,812,3,13,0,402491
3,2,3481,6,15,1,611085
1,1,865,4,42,1,216195
3,1,3559,10,19,1,663841
4,3,2940,2,43,1,582837
2,3,1830,3,14,0,401436
4,2,2980,9,43,0,621592
4,3,3748,9,25,1,777071
5,1,3959,6,8,0,713371
2,3,1604,10,0,0,458096
4,1,2694,10,34,0,568889
4,2,1221,9,43,0,438456
2,2,3871,4,19,0,586211
2,1,1026,5,44,0,249965
4,3,809,10,5,0,482773
2,2,1487,6,41,1,353864
4,2,2043,9,9,0,553123
4,3,753,5,47,1,418255
5,3,1014,8,32,0,490779
1,1,1780,1,15,0,242624
4,3,1884,5,35,0,522436
3,3,3748,10,5,1,717291
1,3,1368,1,18,0,264594
1,1,1582,10,30,1,352418
1,1,2111,6,1,0,361713
5,2,3802,7,17,0,767774
4,1,1178,5,41,1,405277
5,2,3387,1,27,0,653559
4,3,2810,6,3,0,627543
5,2,1638,10,0,0,576323
5,2,3903,5,46,1,736370
3,3,2842,6,41,0,550899
5,2,1141,10,49,0,498303
2,1,958,7,15,0,287567
3,1,1449,7,44,1,387033
5,1,1026,2,46,0,388171
1,1,3144,3,1,1,450891
2,2,3475,6,35,0,541579
2,2,1085,3,0,0,311855
2,3,2431,2,38,1,453103
3,2,2072,4,22,1,468071
5,2,2036,5,25,1,557323
5,2,929,10,10,1,512097
1,3,2355,9,41,1,454387
1,1,3536,3,0,0,480721
2,2,3638,3,10,0,555702
1,3,1770,6,23,1,380339
3,3,858,5,9,0,386673
5,3,2939,6,13,0,702706
2,1,742,7,13,1,281596
1,2,2616,3,6,1,414798
3,3,3394,5,22,1,652924
3,1,1226,8,42,0,370251
1,3,1988,4,21,1,400936
5,3,689,10,35,0,505528
1,3,1319,2,26,1,306044
2,3,3835,4,1,1,631757
1,3,1080,2,38,1,282963
3,1,2731,3,45,1,479115
1,2,1700,4,18,0,313027
5,2,1272,4,6,0,467992
4,2,1116,10,11,0,461877
1,2,3132,9,2,1,531994
5,1,2213,10,46,0,590844
5,1,1381,6,4,0,474851
3,1,2751,9,7,0,552623
5,3,2635,4,13,1,656727
5,3,2986,9,35,0,714765
5,3,1286,9,6,1,586726
5,2,2189,6,6,1,605381
2,3,1499,5,49,0,371236
2,2,2101,3,45,0,391701
3,3,3254,5,31,1,623449
1,2,822,3,7,1,222036
5,3,3680,5,11,1,760657
1,3,1676,5,9,0,369255
1,1,1700,2,13,1,300981
3,3,2341,9,8,1,591667
5,3,1102,7,37,1,539569
5,1,1939,6,29,0,501831
4,2,3469,5,4,1,688684
1,1,1223,4,0,1,259325
1,1,2486,8,0,1,429046
2,2,2812,2,19,1,460207
4,3,3950,8,48,1,774208
2,2,1650,1,10,0,327522
2,3,1693,10,25,0,452290
2,3,3889,1,43,1,605411
3,2,2585,3,2,1,532571
3,1,1988,5,5,1,456713
2,2,1929,6,42,1,405940
4,3,1747,4,44,1,521418
1,2,618,7,10,1,243846
4,2,1880,7,7,0,533874
5,3,3967,2,28,1,778889
3,1,1645,2,9,1,378462
1,2,1588,2,33,0,291171
1,3,3097,2,23,0,458734
5,3,3199,9,45,0,742368
5,2,2173,5,47,0,554735
2,1,1671,8,16,1,378109
3,2,3342,5,31,0,560646
3,1,3234,5,10,0,565124
4,1,3368,1,33,0,543625
2,1,1806,6,23,1,367799
2,1,2058,4,4,1,377545
2,2,2754,3,28,1,482194
2,3,1811,6,47,0,412144
3,3,1375,2,47,1,395198
3,3,3757,8,33,0,672689
2,3,2459,1,15,0,440874
4,3,2466,9,24,0,613020
1,3,1760,8,36,0,360677
1,2,2481,1,7,1,399112
4,1,3545,10,28,1,681675
2,3,2983,9,45,1,556977
3,2,3254,2,24,1,544161
1,3,3485,3,41,0,515546
5,3,2380,2,22,0,573458
5,1,1201,8,33,0,463710
4,1,2194,2,2,0,476653
2,1,3050,10,29,0,518817
1,3,1139,2,49,1,277833
2,3,1695,1,33,1,360179
1,3,2405,7,31,0,429849
4,1,623,2,28,0,282744
4,2,1223,10,8,1,481264
5,3,2435,5,1,1,645811
2,3,1679,5,38,0,378967
5,3,1585,3,6,1,565492
2,2,822,3,45,1,260172
5,3,778,3,4,0,440926
3,2,3447,6,7,0,594301
3,3,3081,4,31,1,599590
3,2,2560,3,17,1,524165
3,3,2073,2,37,0,432478
1,1,1392,3,45,1,261311
3,1,1483,4,17,1,390529
4,1,3139,6,48,1,608935
4,1,1812,4,40,0,427158
1,3,2201,8,44,1,442350
3,1,1409,3,15,1,350483
3,2,1560,3,20,0,387756
3,1,1019,3,9,0,288866
5,1,3920,8,41,1,731839
2,1,3296,4,3,0,499203
5,3,1787,1,43,0,504288
2,1,1878,2,7,1,338024
3,2,3123,10,46,0,600943
3,1,2040,2,18,1,421044
5,1,2817,3,46,1,579034
5,1,1940,6,39,0,527820
2,2,2821,8,39,1,538859
4,1,3117,1,8,1,548489
2,2,2992,9,29,1,568641
5,2,3092,1,16,1,621752
5,1,1641,10,39,1,544406
1,2,1693,2,43,0,294779
5,3,1961,3,14,0,547923
1,1,3275,7,3,1,507980
4,1,1191,9,5,1,437460
2,2,1126,3,15,0,275390
2,2,3103,8,25,1,552144
1,1,1892,9,36,1,347070
2,3,2254,10,22,1,537797
5,2,1410,7,12,0,534775
3,2,787,4,46,1,321886
1,3,3668,4,16,0,557511
2,3,2192,4,26,1,468465
1,1,3358,6,21,1,486316
1,3,1128,4,36,0,258880
3,1,1033,5,18,0,317272
5,3,2935,9,38,1,706260
1,2,2541,7,34,1,428374
2,1,3146,8,12,1,556076
4,1,2404,5,13,0,517204
1,1,902,5,47,1,208866
1,3,686,7,30,0,246998
3,2,3477,8,44,1,646325
5,1,1037,9,1,1,483715
4,1,3188,2,45,1,561005
2,1,1645,3,38,1,341829
4,1,1432,2,36,1,385807
2,2,1396,10,13,1,423106
5,3,1159,7,8,1,534918
2,2,1361,2,9,0,301416
3,1,2298,2,6,1,447294
3,2,3114,2,27,1,549137
3,1,1724,4,45,1,376731
3,3,3322,1,24,1,600741
4,3,1284,2,45,0,399347
5,3,1764,3,27,0,518484
2,1,737,7,1,1,300356
2,2,1177,10,16,1,406259
3,3,1309,1,3,0,380865
3,1,827,6,12,0,313917
1,1,2928,3,17,0,384490
5,2,3331,3,2,1,677435
4,3,1427,4,36,0,440960
2,1,1030,4,32,0,262778
1,2,1663,7,40,1,341905
1,3,2309,3,23,1,407959
2,2,2286,8,7,1,485657
4,2,1834,8,34,0,521956
1,1,901,7,1,0,244517
1,1,1709,2,32,0,260837
5,1,2020,5,11,0,538038
4,2,3924,6,21,1,708621
1,1,1132,10,12,0,287775
4,2,1368,4,9,1,439612
2,2,2538,10,16,0,490416
3,1,2004,5,42,0,423163
1,3,1043,9,4,0,345424
5,3,3704,7,8,1,801161
2,3,859,2,12,0,271593
4,2,3905,1,22,1,652090
2,2,2138,2,29,1,410170
1,2,1931,3,42,1,321634
4,1,3386,2,3,1,595021
3,2,3443,3,20,0,555991
2,1,669,10,42,0,258804
1,1,2077,9,8,1,413405
5,3,2062,4,6,1,614156
4,3,2448,9,15,0,616064
2,3,3630,3,22,0,560208
2,1,1080,1,22,1,252783
3,1,1767,5,30,0,380215
3,1,2671,10,4,0,527170
5,2,3612,10,5,0,766014
5,1,3393,2,0,1,653071
1,3,3492,4,47,1,536940
1,3,1798,2,27,1,344128
5,1,2972,2,17,1,613678
5,1,2492,3,23,1,568636
4,3,2294,5,12,0,569482
3,1,2483,4,32,0,450205
1,3,1971,2,9,0,335698
3,2,1397,10,6,1,473720
3,3,617,2,36,0,302652
5,2,643,6,31,1,429785
4,1,754,7,44,1,361683
2,1,1466,10,21,1,403808
4,2,3569,6,15,1,674162
4,1,1342,7,23,1,457221
3,2,2451,1,13,1,463654
4,1,2025,6,10,0,480776
1,3,824,3,18,1,249181
3,1,816,1,22,0,257071
1,3,630,8,33,1,284525
2,3,2492,4,39,0,475430
3,2,1682,10,12,1,477613
2,1,2515,8,38,1,449920
3,2,1497,10,43,0,457878
5,1,3582,4,27,1,691227
4,3,1044,4,39,1,426929
5,3,1858,10,15,0,634825
2,1,1730,4,49,0,336064
4,1,1814,6,27,1,493960
3,2,2615,9,3,0,543832
4,1,3177,5,27,0,566811
1,1,2536,10,11,1,436453
4,1,1337,8,15,0,443789
1,2,2302,8,48,1,421621
